antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'云闪付'}),frozenset({'电子产品'}),0.14279684383753086,0.9089974829953243,0.12977827641527717,0.9088315464656506,0.9998174510570403,1.0,-2.3695212714780478e-05,0.9981798909245372,-0.00021295230953321886,0.14075489939302144,-0.0018234279131560368,0.5258011614451404
frozenset({'信用卡'}),frozenset({'电子产品'}),0.142879703869379,0.9089974829953243,0.1298992425193534,0.9091511180489821,1.0001690159285717,1.0,2.1951330970576555e-05,1.0016911056070075,0.00019715711759222588,0.14089191972112552,0.0016882505969569672,0.5260274854320923
frozenset({'储蓄卡'}),frozenset({'电子产品'}),0.14287054314416892,0.9089974829953243,0.1298774539889058,0.9090569065580443,1.0000653726372533,1.0,8.489876681366804e-06,1.000653414794581,7.626428356658817e-05,0.14086635797800012,0.0006529881224810074,0.5259683947632021
frozenset({'办公'}),frozenset({'电子产品'}),0.12464047731958706,0.9089974829953243,0.11264619348488587,0.9037689513660399,0.9942480240846702,1.0,-0.0006516866779545799,0.9456668954198704,-0.006565609547136896,0.12230966393174651,-0.05745480236569561,0.5138462498310047
frozenset({'家居'}),frozenset({'电子产品'}),0.33382760959241164,0.9089974829953243,0.24282509258773596,0.7273966730439534,0.8002185777754183,1.0,-0.06062336428611201,0.3338276095924116,-0.2726033269560466,0.24282509258773596,-1.995558100245078,0.4972658640070803
frozenset({'微信支付'}),frozenset({'电子产品'}),0.14279926125112796,0.9089974829953243,0.12981619163906336,0.9090816752249686,1.000092620971146,1.0,1.2022588196297646e-05,1.0009260204678496,0.0001080404963619344,0.14080144236441777,0.0009251637472836139,0.5259470813411763
frozenset({'支付宝'}),frozenset({'电子产品'}),0.14288625633255012,0.9089974829953243,0.12987357340392097,0.9089297790940527,0.9999255180541881,1.0,-9.673956991806953e-06,0.9992565747551929,-8.689747604729801e-05,0.14085915557533324,-0.0007439783370845046,0.5259026964901007
frozenset({'服装'}),frozenset({'电子产品'}),0.45438523438685596,0.9089974829953243,0.41171203171239495,0.906085850848468,0.9967968754574964,1.0,-0.0013230026554976182,0.9689968745587171,-0.0058550519411833014,0.4326202728653265,-0.03199507269350258,0.6795078163696541
frozenset({'母婴'}),frozenset({'电子产品'}),0.12286479160829222,0.9089974829953243,0.11108295389747348,0.9041072909773805,0.9946202359088722,1.0,-0.0006008324232091994,0.949003505399036,-0.006128716597594506,0.12064014840416298,-0.053736887493920346,0.5131555494958573
frozenset({'汽车用品'}),frozenset({'电子产品'}),0.11944440583297727,0.9089974829953243,0.10796296356967251,0.9038762662576294,0.9943660825981393,1.0,-0.0006117006903758604,0.9467226611128032,-0.006393253490956681,0.11728998959898827,-0.0562755504601243,0.5113238660870146
frozenset({'玩具'}),frozenset({'电子产品'}),0.18336479734964953,0.9089974829953243,0.16581074851426875,0.9042670725836879,0.9947960137402704,1.0,-0.0008673907465104047,0.9505874254626581,-0.006365036123713417,0.17895469687115562,-0.05198109423054111,0.5433388210237059
frozenset({'现金'}),frozenset({'电子产品'}),0.14288870555422084,0.9089974829953243,0.12988950924881768,0.9090257256164277,1.0000310700762451,1.0,4.035551570913398e-06,1.000310446236529,3.624863086842625e-05,0.14087850006936048,0.00031034988957388934,0.5259594353668123
frozenset({'运动户外'}),frozenset({'电子产品'}),0.12128854251875858,0.9089974829953243,0.10962204088298068,0.9038120057055385,0.9942953887257217,1.0,-0.0006289389827422442,0.9460901817547891,-0.006486910926464333,0.11906845788792832,-0.056981690841796974,0.5122043221186019
frozenset({'银联'}),frozenset({'电子产品'}),0.14287868601102233,0.9089974829953243,0.12986323577998596,0.9089055856096528,0.9998989024861008,1.0,-1.3130177712594726e-05,0.9989911852852172,-0.00011794807634238138,0.14084752078863041,-0.00100983344962624,0.5258849134703651
frozenset({'食品'}),frozenset({'电子产品'}),0.4518360717487083,0.9089974829953243,0.4093785596216417,0.9060333718758965,0.9967391426545423,1.0,-0.00133929232442892,0.9684557041302675,-0.005932743898915191,0.4302658157456844,-0.032571748749274196,0.6781980353255501
"frozenset({'云闪付', '办公'})",frozenset({'电子产品'}),0.017779599885605443,0.9089974829953243,0.016066798735908983,0.9036648090667573,0.9941334557814232,1.0,-9.481280877032122e-05,0.9446445906536642,-0.005972102899554697,0.0176420525996284,-0.058599191583822645,0.4606700520717226
"frozenset({'家居', '云闪付'})",frozenset({'电子产品'}),0.0476662432269876,0.9089974829953243,0.03464767580473393,0.7268807747180956,0.7996510312909574,1.0,-0.008680819312440725,0.3331970384389673,-0.20828815512911858,0.037578169912597624,-2.0012271558145107,0.38249856763616097
"frozenset({'服装', '云闪付'})",frozenset({'电子产品'}),0.06487934132095559,0.9089974829953243,0.05877950703783847,0.9059818709789073,0.9966824858453073,1.0,-0.00019565092130470474,0.9679252071082957,-0.003546869275518544,0.06423306672196627,-0.03313767701900103,0.4853229870833417
"frozenset({'母婴', '云闪付'})",frozenset({'电子产品'}),0.017510376350264655,0.9089974829953243,0.01583536319205979,0.9043416814865005,0.9948780919684376,1.0,-8.152483663163498e-05,0.9513288380856622,-0.005212717160294862,0.01738864768502916,-0.05116123885435629,0.46088118564975056
"frozenset({'云闪付', '汽车用品'})",frozenset({'电子产品'}),0.017078868023181343,0.9089974829953243,0.015429587596556191,0.9034315140566362,0.9938768048946107,1.0,-9.506044892497977e-05,0.9423624706930532,-0.006228926718774003,0.016943548493574198,-0.061162802105815685,0.46020290241936623
"frozenset({'玩具', '云闪付'})",frozenset({'电子产品'}),0.0261478587488695,0.9089974829953243,0.02363651591028711,0.903956080583808,0.9944538873805195,1.0,-0.00013182187815253751,0.9475094056743965,-0.0056941774021443325,0.025931198075523746,-0.05539849421150922,0.46497946018164904
